,BranchID,TrainID,StationID,CarID,Month,Day,Hour,Passenger_Count
107,3,3350,127,3,11,4,17,29
108,3,6546,188,5,5,6,7,21
109,3,6352,143,4,2,4,11,22
110,1,8752,43,4,4,6,2,5
111,1,8847,29,2,9,4,4,34
112,2,9947,98,2,11,2,8,4
113,3,3546,121,6,8,2,19,27
114,3,6553,110,7,8,3,20,32
115,2,9652,76,4,3,4,15,46
116,3,6553,151,4,3,3,8,34
117,2,9549,58,3,6,2,16,1
118,2,9648,57,5,10,3,15,22
119,2,4349,99,7,1,6,17,33
120,2,9549,88,7,6,5,16,21
121,3,6347,149,5,6,1,4,37
122,1,4749,22,6,3,4,10,6
123,2,9645,86,2,2,2,3,15
124,2,9552,80,3,3,3,17,19
125,2,9550,91,3,2,6,16,8
126,1,8847,43,4,2,1,15,26
127,2,9947,176,6,7,1,9,29
128,3,3548,190,7,10,4,20,6
129,1,8747,40,2,9,4,7,26
130,3,6551,127,3,5,6,3,49
131,3,6349,108,4,10,5,15,35
132,2,9947,80,1,9,3,22,23
133,2,9649,62,3,9,5,22,30
134,3,6347,112,3,10,5,18,11
135,3,6548,120,6,2,6,3,13
136,1,8750,19,3,3,6,19,19
137,1,8754,42,2,5,1,12,11
138,1,8841,51,1,5,4,15,18
139,2,9652,54,5,9,5,19,20
140,3,6546,116,7,1,2,2,26
141,2,9648,78,6,7,5,20,12
142,1,8754,51,5,5,6,13,30
143,1,8750,25,4,8,6,7,47
144,3,6544,106,7,11,4,14,44
145,3,6547,110,6,9,4,13,34
146,3,6345,105,6,10,6,8,9
147,3,6549,149,2,4,6,8,34
148,3,3350,118,7,11,5,0,5
149,1,4847,37,4,3,1,5,43
150,2,9647,65,6,6,5,17,49
151,3,6349,114,1,3,2,21,42
152,2,9649,54,5,2,4,4,23
153,3,3546,190,7,2,2,9,14
154,1,8751,51,3,4,6,15,48
155,2,9648,84,4,1,5,1,1
156,2,9548,56,7,4,1,12,39
157,3,3546,151,6,7,3,12,4
158,2,9649,91,6,9,3,20,36
159,2,4349,59,6,1,4,2,49
160,1,8752,24,4,1,4,5,7
161,2,9546,86,5,2,2,16,26
162,3,6542,110,2,2,5,12,20
163,3,6553,127,1,8,3,12,9
164,2,9553,58,4,7,4,8,4
165,3,6349,120,4,7,6,17,34
166,2,9947,99,3,6,1,16,38
167,1,8751,22,4,4,2,8,7
168,2,4647,79,5,11,4,18,42
169,2,9958,54,1,10,5,6,48
170,3,3548,145,4,1,6,11,8
171,2,9553,97,2,10,5,3,36
172,1,8751,43,5,10,1,0,30
173,2,9947,94,2,7,6,1,48
174,1,8852,44,7,11,1,7,37
175,3,6348,112,1,1,2,21,35
176,1,8749,22,7,1,5,10,42
177,4,6753,155,2,11,2,15,39
178,2,9550,78,5,6,5,15,46
179,1,8748,37,3,1,3,18,47
180,2,4551,64,3,3,3,17,25
181,1,8745,49,5,1,2,7,41
182,3,6350,108,4,4,3,0,23
183,1,8748,31,7,4,2,20,35
184,3,6547,149,1,9,6,14,20
185,2,9546,71,5,4,6,16,34
186,1,8749,42,3,11,5,17,3
187,2,9648,176,2,6,2,8,20
188,2,9546,72,5,1,3,15,26
189,2,9549,85,3,11,4,4,13
190,3,6345,145,1,9,4,2,12
191,2,9654,177,1,8,2,2,26
192,2,9551,62,7,3,1,16,21
193,2,9550,97,1,8,1,0,23
194,1,8750,42,5,9,6,2,2
195,3,6349,110,5,4,6,17,33
196,3,6348,110,3,5,1,0,49
197,2,9652,78,6,10,6,8,4
198,1,8841,14,4,3,2,13,7
199,3,6544,140,6,11,6,1,13
200,2,9546,59,3,10,3,19,34
201,2,9553,90,4,2,3,16,27
202,2,9552,85,1,4,3,4,25
203,2,9551,55,2,4,1,19,24
204,1,8750,18,1,8,6,11,8
205,2,9650,98,3,8,5,9,12
206,3,6553,116,7,9,5,1,30
207,3,6350,136,1,8,5,5,11
208,3,3350,133,7,3,2,19,7
209,2,9550,72,4,1,1,22,38
210,3,6347,128,7,9,3,18,18
211,2,9648,89,2,9,6,3,20
212,1,8852,39,7,10,4,12,27
213,1,8752,46,2,10,2,5,41
214,3,3546,120,2,6,1,1,8
215,1,8750,49,7,10,2,3,49
216,3,6544,112,6,4,3,5,15
217,2,9551,81,2,6,5,2,6
218,1,8852,18,2,8,2,20,38
219,2,9553,88,3,10,1,16,16
220,2,9652,58,2,6,5,18,23
221,2,9654,65,5,9,3,0,7
222,1,8745,24,6,9,4,4,22
223,2,4349,58,7,9,5,19,5
224,2,9650,59,1,2,1,19,11
225,3,6350,114,4,8,4,15,29
226,1,8847,40,6,6,2,16,39
227,2,9654,71,7,8,6,11,31
228,1,8750,20,2,4,5,16,41
229,1,8747,27,5,7,4,10,3
230,3,6347,110,3,11,6,9,46
231,3,6551,105,6,5,3,0,29
232,1,8747,20,6,3,4,12,18
233,2,4551,94,6,7,3,13,30
234,2,9649,68,3,10,3,2,15
235,1,8745,9,1,11,6,5,16
236,3,3248,108,5,6,1,11,16
237,3,3546,116,1,6,2,6,9
238,3,3548,108,4,4,6,4,6
239,1,8845,40,4,8,6,8,2
240,2,9958,90,4,2,1,15,13
241,3,3548,105,2,11,4,3,38
242,2,4551,72,6,9,1,14,34
243,1,8750,37,4,11,5,14,1
244,1,8754,30,6,7,2,14,6
245,2,9650,83,4,3,5,22,19
246,3,6542,124,2,2,1,3,32
247,3,3548,128,6,1,6,5,15
248,2,9552,71,6,9,5,19,45
249,2,9648,79,1,6,1,9,6
250,2,9555,58,2,8,2,3,41
251,3,6551,118,3,9,4,5,30
252,1,8751,46,3,7,1,7,28
253,1,4847,30,7,5,1,10,31
254,1,4749,11,7,10,5,7,27
255,2,9652,81,7,8,6,22,6
256,2,4551,81,1,1,2,18,5
257,3,6352,136,7,10,5,3,13
258,1,8745,22,1,11,5,9,12
259,2,9550,61,3,7,1,21,47
260,2,9958,76,2,5,5,12,19
261,3,3248,127,7,8,2,12,1
262,3,3248,133,2,3,6,10,46
263,2,9552,100,7,10,2,15,19
264,1,8852,29,4,8,3,17,3
265,3,6347,190,5,9,1,11,8
266,3,3248,106,3,3,1,7,24
267,3,6544,143,1,6,2,1,5
268,3,6347,143,2,9,2,18,17
269,3,3546,188,2,8,6,21,17
270,2,9947,74,1,1,4,13,14
271,3,6352,118,6,6,2,10,41
272,2,9958,65,2,11,3,10,30
273,3,3248,118,7,9,2,11,33
274,1,8841,19,4,9,4,8,22
275,2,9652,88,2,10,3,16,4
276,1,4847,622,5,1,6,0,43
277,2,9650,79,4,2,1,3,11
278,3,6348,120,3,3,6,6,20
279,3,3350,105,4,5,5,14,18
280,2,4349,66,4,5,2,21,20
281,2,9652,99,4,10,2,21,12
282,4,6753,153,1,3,5,9,40
283,2,4551,89,6,8,6,13,20
284,3,6551,140,2,10,1,14,32
285,3,6352,127,7,9,1,22,14
286,2,4349,74,1,7,4,8,20
287,1,8751,1,3,3,2,5,46
288,2,4551,59,6,7,5,4,48
289,1,8754,43,7,9,1,2,35
290,3,6548,131,4,4,2,10,10
291,2,9553,98,6,6,1,15,26
292,2,9555,71,3,9,5,17,28
293,1,4749,4,7,9,2,4,36
294,5,6846,158,7,9,6,7,15
295,2,9551,54,5,9,1,14,2
296,3,6352,188,7,4,4,5,46
297,1,8754,24,1,5,6,20,16
298,1,8751,49,6,11,1,3,21
299,2,4551,74,2,8,1,2,20
300,3,6546,110,3,6,5,2,45
301,2,9546,54,3,8,5,10,39
302,2,9548,79,4,1,2,8,24
303,3,3546,111,3,11,2,18,36
304,1,8749,25,6,10,3,18,24
305,1,8841,16,7,5,3,11,6
306,2,9552,99,5,2,6,22,47
307,2,9552,101,2,9,2,20,31
308,2,9550,85,6,5,1,7,23
309,1,8852,31,5,2,5,6,1
310,3,6544,137,5,9,2,8,34
311,3,3248,145,6,1,1,16,40
312,2,9551,99,7,6,3,17,35
313,3,6546,137,4,5,4,16,27
314,3,6351,110,6,6,3,4,19
315,3,3248,136,3,1,1,18,24
316,3,6347,133,3,6,3,13,9
317,2,9647,64,5,11,1,7,39
318,3,6348,127,7,6,3,6,15
319,2,9546,62,2,9,2,2,8
320,3,6347,120,7,7,3,6,20
321,2,9550,94,6,6,6,9,4
322,1,8841,27,2,8,5,16,10
323,2,9654,97,4,3,4,21,39
324,3,6542,151,2,10,6,7,40
325,2,4551,88,4,11,1,13,21
326,3,6352,111,4,5,6,11,30
327,1,8847,30,5,7,4,3,37
328,2,9648,65,1,3,3,10,40
329,2,9555,66,5,2,6,1,12
330,1,8747,43,3,4,4,13,48
331,1,8749,44,4,9,1,21,35
332,2,9553,71,3,10,5,17,47
333,1,8751,10,5,5,3,0,26
334,3,3248,134,7,4,6,21,40
335,2,9650,58,3,7,3,17,24
336,2,9650,84,1,11,3,22,7
337,2,9649,81,5,10,6,9,30
338,2,4647,177,7,2,4,15,18
339,2,9549,61,7,1,5,3,1
340,1,8845,18,3,8,1,18,7
341,3,6548,129,1,11,2,13,29
342,2,4551,86,6,7,3,8,6
343,3,6544,129,7,1,2,0,21
344,1,8745,51,3,9,2,12,5
345,2,9549,66,2,8,3,4,1
346,1,8843,40,5,10,3,22,17
347,3,3248,190,4,8,3,21,43
348,3,6348,116,2,10,5,8,43
349,2,9552,74,5,10,6,19,42
350,3,3248,143,4,1,5,4,9
351,1,8845,37,2,9,3,18,36
352,1,8751,24,1,6,4,9,19
353,2,9654,72,3,9,6,17,22
354,1,8752,10,2,3,6,13,26
355,1,8754,46,4,6,4,22,43
356,1,8750,44,2,2,5,15,38
357,2,9555,100,2,9,1,0,40
358,2,9548,97,4,2,4,22,4
359,2,9650,94,7,8,3,13,19
360,2,9550,54,7,6,6,20,20
361,2,9649,84,1,8,6,0,9
362,2,9546,85,7,8,1,13,20
363,3,3546,110,7,2,6,21,26
364,2,4551,177,4,8,4,12,13
365,2,9649,177,6,10,2,3,4
366,3,6551,133,4,9,6,4,40
367,3,3350,108,6,2,1,0,23
368,3,6345,116,7,10,6,15,2
369,3,6547,137,3,2,5,5,48
370,2,9553,99,4,11,6,14,15
371,3,6551,143,3,7,3,4,43
372,2,9648,58,5,5,1,10,16
373,2,9648,83,7,3,3,19,11
374,3,3248,129,2,6,2,2,32
375,2,9552,59,5,3,1,16,6
376,2,9947,61,5,11,4,16,4
377,3,6553,134,7,4,1,16,21
378,3,6544,116,3,6,6,18,1
379,1,8841,33,5,9,1,22,3
380,2,9555,61,2,8,5,2,17
381,3,6345,121,4,4,6,0,9
382,3,6553,143,6,9,6,5,32
383,1,8748,40,7,9,3,15,12
384,1,8747,10,6,6,2,15,42
385,3,6351,120,3,3,6,4,3
386,3,6551,120,2,1,5,3,34
387,2,9645,64,2,11,6,2,5
388,3,6350,111,3,11,4,2,30
389,3,6542,140,6,11,3,1,40
390,2,9552,94,5,9,6,8,12
391,3,6345,133,1,5,3,14,43
392,2,4349,91,4,11,1,22,34
393,2,9555,59,3,4,3,3,39
394,3,6547,121,1,4,6,18,3
395,3,6347,137,6,4,1,5,18
396,3,6546,106,1,6,4,2,33
397,3,6551,149,1,9,5,14,40
398,2,9546,56,4,8,6,6,7
399,2,9647,83,5,1,3,14,7
400,1,8748,49,6,9,5,5,1
401,1,8751,11,2,7,4,3,49
402,3,6548,143,3,3,1,22,29
403,2,9647,90,7,7,1,19,42
404,2,9947,81,6,8,2,20,23
405,2,9553,176,7,3,5,4,16
406,2,9546,57,3,11,6,7,26
407,2,9647,79,4,6,4,22,44
408,3,6547,134,5,6,6,2,1
409,1,8843,23,6,2,5,19,39
410,3,3548,188,2,8,5,11,21
411,1,8749,40,5,10,4,15,29
412,3,6546,134,4,2,2,15,7
413,2,9958,74,2,8,3,14,44
414,3,6349,136,6,1,2,0,19
415,3,6348,133,3,3,1,8,19
416,2,9652,68,1,6,6,17,27
417,1,4749,17,3,2,4,18,34
418,2,9550,64,6,8,2,1,13
419,3,6547,143,5,2,2,7,28
420,3,6345,138,6,1,4,16,45
421,2,9947,86,1,1,2,17,26
422,2,4349,94,1,10,2,11,15
423,1,8748,44,3,5,6,21,21
424,1,8845,51,7,8,5,7,24
425,2,9549,89,4,3,3,18,43
426,3,6351,118,5,9,5,22,46
427,3,6350,134,2,4,4,3,9
428,1,8749,43,7,10,6,7,37
429,2,9648,81,4,7,3,8,38
430,2,9555,90,6,7,4,22,38
431,3,6548,128,5,1,6,11,32
432,2,9649,100,2,5,5,11,17
433,3,6347,105,3,5,3,18,45
434,1,8847,33,1,3,5,4,49
435,2,9555,176,5,2,3,19,46
436,2,9652,85,1,2,5,7,38
437,2,9548,65,6,3,4,8,31
438,3,6544,127,2,6,6,0,21
439,3,6349,111,1,6,2,17,20
440,2,9958,177,5,2,6,19,10
441,1,8752,16,2,11,4,8,23
442,3,6544,115,2,4,5,22,34
443,2,9649,61,3,4,1,1,39
444,2,9947,66,3,6,3,20,33
445,2,4349,65,7,10,4,14,7
446,2,4349,78,3,5,2,15,14
447,2,9551,83,1,2,4,8,20
448,3,6553,106,3,10,1,16,25
449,4,6757,157,2,4,2,10,36
450,2,9549,81,6,1,4,6,2
451,1,8843,16,3,3,5,6,23
452,1,8841,20,4,8,6,13,4
453,1,8748,39,1,1,6,8,25
454,1,8750,27,7,3,4,19,47
455,3,3548,114,2,1,3,22,4
456,2,9552,78,5,8,5,16,24
457,2,9548,71,2,6,6,2,8
458,3,3350,129,5,10,1,9,8
459,3,6345,188,4,11,5,17,46
460,2,9553,57,6,3,3,7,25
461,3,6549,131,5,7,4,18,8
462,2,9550,76,3,7,2,13,8
463,2,9645,94,7,8,3,12,9
464,2,9947,55,3,10,3,15,47
465,2,9650,81,2,3,1,13,35
466,2,9555,89,5,10,3,1,34
467,2,9645,65,7,3,3,0,19
468,2,9958,57,6,9,6,15,34
469,1,8843,31,7,1,2,7,42
470,2,9958,94,6,3,6,13,30
471,3,6544,121,7,3,6,7,26
472,2,4647,57,5,6,3,3,33
473,3,6542,105,4,7,4,15,34
474,1,8852,23,5,8,1,14,37
475,2,9645,68,3,1,1,6,49
476,1,8843,9,4,10,3,14,19
477,3,6348,124,1,5,4,7,26
478,1,8754,19,6,10,5,15,19
479,1,4847,1,1,11,4,13,26
480,3,6351,143,7,3,6,3,32
481,3,6352,190,5,6,5,6,17
482,2,9549,97,1,7,4,11,35
483,2,9649,79,3,6,4,19,30
484,2,4349,68,7,3,4,0,28
485,1,8749,14,1,3,2,21,35
486,3,3548,140,2,5,1,4,23
487,3,6546,151,3,4,3,17,29
488,2,9947,65,3,7,3,17,29
489,1,8852,14,4,5,5,15,41
490,2,9548,54,2,8,5,1,25
491,1,4847,18,5,9,4,2,24
492,1,8752,19,3,7,2,2,34
493,1,8749,29,7,9,1,14,35
494,1,8845,9,6,9,6,3,44
495,2,4551,57,3,10,6,10,11
496,1,8847,18,3,7,5,13,45
497,2,4551,68,1,7,3,3,26
498,3,6549,112,6,5,1,0,1
499,2,9645,176,3,1,1,18,43
500,2,9650,88,1,5,5,8,14
501,2,9550,84,1,5,4,21,47
502,1,8841,49,5,10,2,18,41
503,3,6350,124,1,4,6,10,40
504,2,9648,98,7,3,1,1,7
505,3,6349,106,6,9,1,9,25
506,2,9548,83,5,9,3,18,7
507,2,9652,62,3,11,3,19,22
508,3,6544,108,7,7,3,13,40
509,1,8745,43,1,8,1,12,8
510,3,6547,112,7,4,2,7,12
511,2,9555,55,5,9,6,11,11
512,2,4647,94,3,6,5,2,43
513,2,9947,84,7,11,5,5,48
514,3,6348,190,5,3,1,8,41
515,2,9648,97,4,5,6,16,24
516,3,6549,134,5,2,5,19,2
517,2,9553,101,4,5,6,12,15
518,2,9555,101,1,3,2,13,8
519,3,6551,137,5,8,5,16,42
520,2,9652,100,5,2,3,5,49
521,2,9650,97,4,1,1,21,16
522,3,6544,190,2,6,4,7,37
523,2,9648,71,3,8,3,15,27
524,2,9649,83,2,3,2,15,26
525,3,6546,131,7,7,6,8,38
526,2,9546,81,6,10,4,3,21
527,2,9551,58,2,10,2,21,31
528,2,9555,76,2,2,3,10,36
529,2,9552,72,6,5,3,14,47
530,1,8747,9,3,2,2,1,25
531,1,4847,23,4,10,6,13,34
532,1,8745,25,5,1,6,9,47
533,2,9648,56,4,8,1,1,13
534,3,6351,114,2,6,5,17,24
535,2,9546,66,4,4,4,6,10
536,1,8754,23,6,10,3,14,9
537,3,6549,114,5,2,3,1,14
538,1,8750,11,6,4,5,12,49
539,1,8852,43,2,3,3,6,20
540,2,9649,59,2,2,6,1,40
541,2,9555,54,3,9,3,9,29
542,1,8754,44,3,5,2,13,45
543,2,9648,80,6,7,5,3,31
544,3,6352,112,6,9,5,12,13
545,2,9652,86,1,6,5,15,34
546,2,9552,86,6,3,4,19,15
547,2,9654,101,1,9,6,0,8
548,2,9654,81,5,6,3,4,21
549,1,8752,49,3,6,5,19,44
550,1,8843,1,6,3,6,8,6
551,1,8752,51,7,11,5,1,33
552,1,8845,39,5,6,1,3,46
553,2,9654,86,4,8,3,20,46
554,1,8752,33,4,7,1,13,21
555,2,9654,90,7,4,3,15,35
556,1,8750,24,1,5,6,15,42
557,2,9548,78,5,2,4,13,49
558,3,6345,120,5,8,6,4,19
559,1,8749,49,2,7,1,14,14
560,2,9645,100,4,5,4,17,19
561,2,9648,91,2,8,6,0,5
562,2,9648,85,7,7,2,18,40
563,2,9647,81,6,4,4,1,18
564,3,6547,190,1,4,1,2,9
565,1,8852,37,1,8,2,0,41
566,2,9550,57,4,8,6,0,17
567,2,9645,55,3,8,3,3,9
568,3,6547,138,2,9,3,10,42
569,2,9645,99,2,1,1,17,14
570,1,8847,9,4,9,2,1,28
571,1,8841,23,4,9,3,17,16
572,2,9654,61,7,11,5,10,5
573,2,9650,90,7,4,3,0,18
574,3,6351,111,7,6,5,15,34
575,1,8752,9,3,3,2,20,15
576,1,8745,622,7,11,4,16,22
577,3,3546,115,5,1,3,9,9
578,3,6349,127,5,10,3,7,46
579,2,9652,65,5,7,3,22,1
580,1,8751,17,2,8,2,14,18
581,2,4349,89,5,8,2,3,48
582,3,6542,121,5,5,6,11,40
583,3,3546,118,7,11,2,9,28
584,3,6544,111,2,3,1,6,11
585,3,6548,140,6,1,3,15,9
586,1,8749,9,5,6,4,1,25
587,3,6553,136,7,2,4,20,38
588,1,8845,43,4,3,1,16,43
589,1,8749,18,2,9,3,3,16
590,3,6348,145,5,9,2,22,30
591,2,9649,56,6,7,2,8,16
592,2,9649,78,5,3,3,0,31
593,2,9648,76,4,9,4,8,41
594,3,3546,143,1,4,4,21,32
595,2,9549,55,1,10,1,9,26
596,1,8751,44,3,8,3,19,2
597,2,9958,56,7,7,3,12,49
598,2,9652,94,4,10,4,5,36
599,2,9652,80,6,9,2,4,39
600,1,8843,42,7,3,4,6,37
601,1,4749,16,5,7,6,22,2
602,2,9553,79,7,3,4,21,25
603,2,9645,81,1,3,2,1,13
604,2,9650,100,4,1,2,8,36
605,4,6750,153,3,10,2,5,19
606,2,9548,90,6,4,3,21,21
607,1,8749,20,5,9,6,13,2
608,3,6350,127,3,2,1,9,19
609,2,9549,176,3,6,3,9,26
610,1,4749,9,4,3,1,13,27
611,2,9654,83,7,8,3,0,32
612,1,8847,25,2,4,3,10,36
613,1,8841,39,3,9,3,22,3
614,2,9647,88,4,3,1,15,9
615,2,4551,65,2,1,6,14,24
616,3,6351,106,6,5,2,5,38
617,3,6347,118,6,2,4,2,14
618,2,4647,84,2,11,5,16,23
619,3,3350,106,1,11,4,22,14
620,2,4647,176,6,7,6,20,2
621,2,4349,97,3,4,4,4,29
622,2,4647,78,3,10,3,6,9
623,2,9546,89,7,2,3,20,32
624,3,3248,112,5,11,4,9,5
625,2,9549,83,4,4,1,22,14
626,1,4749,42,2,8,6,12,44
627,3,6347,121,6,9,2,16,30
628,3,3350,115,2,5,3,3,40
629,2,9947,59,2,8,4,7,43
630,1,8843,24,2,10,5,6,33
631,3,6542,137,1,2,5,17,14
632,1,8845,42,5,4,6,9,16
633,1,8852,25,5,5,4,6,42
634,3,6551,145,1,8,4,16,4
635,1,8847,4,3,3,4,6,36
636,2,9549,78,7,2,5,18,26
637,3,6548,137,7,8,5,17,41
638,3,6351,134,4,9,6,3,28
639,1,8745,42,1,8,1,10,14
640,2,4647,86,5,11,6,16,45
641,2,9548,55,6,10,4,15,12
642,2,4349,80,4,9,6,13,48
643,2,4551,90,7,8,1,12,11
644,3,6553,140,3,10,6,13,3
645,4,6746,154,2,4,4,7,25
646,1,8747,11,5,4,4,2,34
647,1,4847,20,4,11,4,9,4
648,2,9555,72,5,9,6,4,9
649,3,6551,124,3,8,3,4,21
650,2,9958,58,7,2,3,3,35
651,1,8852,27,6,7,5,4,38
652,1,8843,4,4,2,4,21,26
653,2,9548,85,7,8,3,11,11
654,2,9647,72,4,9,4,16,15
655,3,6549,128,7,8,5,21,42
656,2,9648,54,4,4,6,3,38
657,3,6349,121,1,5,6,10,19
658,3,6348,111,2,1,3,17,47
659,2,9947,85,7,11,4,1,14
660,2,9652,66,4,8,4,4,35
661,2,9645,97,3,1,2,8,5
662,2,9652,72,7,5,1,19,35
663,3,3546,149,2,10,3,7,3
664,3,6351,127,1,8,6,22,13
665,2,9548,80,5,8,1,3,5
666,2,4551,176,1,1,1,21,47
667,2,9652,57,7,8,6,20,49
668,3,6349,118,5,5,3,20,18
669,3,6352,128,3,3,3,17,30
670,2,9947,58,4,8,3,15,9
671,3,3548,124,4,1,3,7,34
672,1,8747,30,5,10,4,16,30
673,1,8754,622,3,8,4,17,44
674,2,9645,59,1,5,4,16,24
675,1,8750,17,4,6,5,22,16
676,1,8745,31,1,1,4,0,29
677,2,4647,89,6,7,1,0,44
678,1,8752,18,7,1,1,0,6
679,3,6351,115,1,6,1,8,4
680,1,8845,30,1,6,3,3,20
681,2,9555,57,3,5,1,21,36
682,1,8754,22,1,8,3,15,37
683,2,9958,99,2,1,2,6,7
684,2,9650,71,5,7,5,19,31
685,3,6348,128,6,4,1,18,27
686,1,4749,23,5,3,6,2,44
687,2,9654,56,6,5,4,14,26
688,2,9552,58,2,1,5,13,11
689,1,8750,9,1,1,5,20,17
690,1,8748,1,1,9,6,21,47
691,3,6547,105,3,1,3,13,46
692,2,9647,57,3,11,5,8,10
693,2,9654,55,2,5,5,11,41
694,3,6549,137,4,4,2,0,49
695,3,6544,114,3,8,6,4,8
696,2,4647,101,3,4,2,12,20
697,2,9548,61,3,3,4,5,21
698,2,9550,99,6,5,4,4,17
699,4,6750,157,4,6,6,16,11
700,3,3350,151,6,3,5,13,43
701,3,6345,190,1,7,1,0,10
702,3,6546,138,6,2,6,11,38
703,1,8754,9,4,4,1,8,34
704,2,9546,74,2,8,4,3,22
705,1,8748,18,5,6,5,10,10
706,1,8752,20,2,3,6,16,18
707,2,4551,62,2,4,5,6,36
708,2,9551,72,1,5,4,18,33
709,3,6351,140,6,4,3,3,8
710,1,8845,31,1,1,4,1,49
711,2,9550,88,7,4,6,12,42
712,2,9649,66,1,11,5,13,23
713,3,6553,138,2,4,3,13,45
714,2,9654,91,6,3,2,8,7
715,3,6546,108,7,11,3,3,24
716,1,8752,31,4,7,6,20,27
717,1,4847,51,3,4,2,1,33
718,3,6551,138,4,1,4,17,16
719,1,8843,39,6,10,3,1,49
720,3,3548,129,7,8,2,1,27
721,3,6347,111,7,8,4,8,30
722,1,8745,39,2,8,5,8,34
723,3,6544,136,6,8,4,6,36
724,2,9546,94,6,11,6,2,21
725,2,9549,94,1,7,6,18,38
726,2,4551,97,6,7,3,16,31
727,2,4349,101,5,10,3,17,46
728,2,9654,64,6,9,1,6,26
729,3,6345,106,1,11,1,22,36
730,1,8843,33,3,8,3,0,34
731,2,9645,54,2,7,2,0,1
